Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre,Year
1970-01-01 00:00:00.000002021,Resident Evil: Welcome to Raccoon City,881.086,1312,below_avg,Science Fiction,1970
1970-01-01 00:00:00.000002021,Last Man Down,869.605,318,below_avg,Action,1970
1970-01-01 00:00:00.000002021,Last Man Down,869.605,318,below_avg,Thriller,1970
1970-01-01 00:00:00.000002022,American Siege,867.326,49,not_popular,Action,1970
1970-01-01 00:00:00.000002022,American Siege,867.326,49,not_popular,Thriller,1970
1970-01-01 00:00:00.000002022,American Siege,867.326,49,not_popular,Crime,1970
1970-01-01 00:00:00.000002022,American Siege,867.326,49,not_popular,Drama,1970
1970-01-01 00:00:00.000002022,Uncharted,866.391,691,average,Action,1970
1970-01-01 00:00:00.000002022,Uncharted,866.391,691,average,Adventure,1970
1970-01-01 00:00:00.000002020,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,845.992,2224,popular,Animation,1970
1970-01-01 00:00:00.000002020,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,845.992,2224,popular,Action,1970
1970-01-01 00:00:00.000002020,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,845.992,2224,popular,Adventure,1970
1970-01-01 00:00:00.000002020,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,845.992,2224,popular,Fantasy,1970
1970-01-01 00:00:00.000002021,Ghostbusters: Afterlife,839.904,2225,popular,Fantasy,1970
1970-01-01 00:00:00.000002021,Ghostbusters: Afterlife,839.904,2225,popular,Comedy,1970
1970-01-01 00:00:00.000002021,Ghostbusters: Afterlife,839.904,2225,popular,Adventure,1970
1970-01-01 00:00:00.000002022,The 355,781.748,313,below_avg,Action,1970
1970-01-01 00:00:00.000002022,The 355,781.748,313,below_avg,Thriller,1970
1970-01-01 00:00:00.000002021,Shang-Chi and the Legend of the Ten Rings,769.185,5845,popular,Action,1970
1970-01-01 00:00:00.000002021,Shang-Chi and the Legend of the Ten Rings,769.185,5845,popular,Adventure,1970
1970-01-01 00:00:00.000002021,Shang-Chi and the Legend of the Ten Rings,769.185,5845,popular,Fantasy,1970
1970-01-01 00:00:00.000002022,Marry Me,761.793,230,average,Romance,1970
1970-01-01 00:00:00.000002022,Marry Me,761.793,230,average,Comedy,1970
1970-01-01 00:00:00.000002022,Marry Me,761.793,230,average,Music,1970
1970-01-01 00:00:00.000002022,The Hunting,761.127,10,not_popular,Horror,1970
1970-01-01 00:00:00.000002021,West Side Story,678.186,562,popular,Drama,1970
1970-01-01 00:00:00.000002021,West Side Story,678.186,562,popular,Romance,1970
1970-01-01 00:00:00.000002021,West Side Story,678.186,562,popular,Crime,1970
1970-01-01 00:00:00.000002022,Through My Window,659.105,1331,popular,Romance,1970
1970-01-01 00:00:00.000002022,Through My Window,659.105,1331,popular,Drama,1970
1970-01-01 00:00:00.000002021,The Seven Deadly Sins: Cursed by Light,647.54,312,popular,Animation,1970
1970-01-01 00:00:00.000002021,The Seven Deadly Sins: Cursed by Light,647.54,312,popular,Fantasy,1970
1970-01-01 00:00:00.000002021,One Shot,622.24,382,average,Action,1970
1970-01-01 00:00:00.000002022,Tom and Jerry: Cowboy Up!,614.11,163,average,Animation,1970
1970-01-01 00:00:00.000002022,Tom and Jerry: Cowboy Up!,614.11,163,average,Comedy,1970
1970-01-01 00:00:00.000002022,Tom and Jerry: Cowboy Up!,614.11,163,average,Family,1970
1970-01-01 00:00:00.000002022,Tom and Jerry: Cowboy Up!,614.11,163,average,Western,1970
1970-01-01 00:00:00.000002020,Chernobyl: Abyss,601.958,314,below_avg,Drama,1970
1970-01-01 00:00:00.000002020,Chernobyl: Abyss,601.958,314,below_avg,History,1970
1970-01-01 00:00:00.000002020,Chernobyl: Abyss,601.958,314,below_avg,Adventure,1970
1970-01-01 00:00:00.000002022,Desperate Riders,590.474,10,average,Western,1970
1970-01-01 00:00:00.000002022,Desperate Riders,590.474,10,average,Action,1970
1970-01-01 00:00:00.000002021,Clifford the Big Red Dog,585.011,1100,popular,Family,1970
1970-01-01 00:00:00.000002021,Clifford the Big Red Dog,585.011,1100,popular,Adventure,1970
1970-01-01 00:00:00.000002021,Clifford the Big Red Dog,585.011,1100,popular,Comedy,1970
1970-01-01 00:00:00.000002021,Clifford the Big Red Dog,585.011,1100,popular,Fantasy,1970
1970-01-01 00:00:00.000002022,Tyler Perry's A Madea Homecoming,577.591,42,average,Comedy,1970
1970-01-01 00:00:00.000002021,The Boss Baby: Family Business,567.421,1785,popular,Animation,1970
1970-01-01 00:00:00.000002021,The Boss Baby: Family Business,567.421,1785,popular,Comedy,1970
1970-01-01 00:00:00.000002021,The Boss Baby: Family Business,567.421,1785,popular,Adventure,1970
1970-01-01 00:00:00.000002021,The Boss Baby: Family Business,567.421,1785,popular,Family,1970
1970-01-01 00:00:00.000002022,Turning Red,564.507,8,popular,Animation,1970
1970-01-01 00:00:00.000002022,Turning Red,564.507,8,popular,Family,1970
1970-01-01 00:00:00.000002022,Turning Red,564.507,8,popular,Comedy,1970
1970-01-01 00:00:00.000002022,Turning Red,564.507,8,popular,Fantasy,1970
1970-01-01 00:00:00.000002022,Brazen,553.141,211,not_popular,Thriller,1970
1970-01-01 00:00:00.000002022,Brazen,553.141,211,not_popular,Mystery,1970
1970-01-01 00:00:00.000002022,Brazen,553.141,211,not_popular,Drama,1970
1970-01-01 00:00:00.000002022,The House,551.65,432,average,Animation,1970
1970-01-01 00:00:00.000002022,The House,551.65,432,average,Drama,1970
1970-01-01 00:00:00.000002022,The House,551.65,432,average,Comedy,1970
1970-01-01 00:00:00.000002022,The House,551.65,432,average,Horror,1970
1970-01-01 00:00:00.000002022,Blacklight,533.903,88,not_popular,Action,1970
1970-01-01 00:00:00.000002022,Blacklight,533.903,88,not_popular,Thriller,1970
1970-01-01 00:00:00.000002021,Ron's Gone Wrong,509.277,1000,popular,Animation,1970
1970-01-01 00:00:00.000002021,Ron's Gone Wrong,509.277,1000,popular,Science Fiction,1970
1970-01-01 00:00:00.000002021,Ron's Gone Wrong,509.277,1000,popular,Family,1970
1970-01-01 00:00:00.000002021,Ron's Gone Wrong,509.277,1000,popular,Comedy,1970
1970-01-01 00:00:00.000002021,Free Guy,447.872,5158,popular,Comedy,1970
1970-01-01 00:00:00.000002021,Free Guy,447.872,5158,popular,Action,1970
1970-01-01 00:00:00.000002021,Free Guy,447.872,5158,popular,Adventure,1970
1970-01-01 00:00:00.000002021,Free Guy,447.872,5158,popular,Science Fiction,1970
1970-01-01 00:00:00.000002021,Cruella,429.613,6675,popular,Comedy,1970
1970-01-01 00:00:00.000002021,Cruella,429.613,6675,popular,Crime,1970
1970-01-01 00:00:00.000002021,The Suicide Squad,424.983,5689,popular,Action,1970
1970-01-01 00:00:00.000002021,The Suicide Squad,424.983,5689,popular,Adventure,1970
1970-01-01 00:00:00.000002021,The Suicide Squad,424.983,5689,popular,Fantasy,1970
1970-01-01 00:00:00.000002021,The Simpsons in Plusaversary,418.589,251,average,Animation,1970
1970-01-01 00:00:00.000002021,The Simpsons in Plusaversary,418.589,251,average,Comedy,1970
1970-01-01 00:00:00.000002021,The Simpsons in Plusaversary,418.589,251,average,Fantasy,1970
1970-01-01 00:00:00.000002022,Forgive Us Our Trespasses,409.688,27,below_avg,Drama,1970
1970-01-01 00:00:00.000002022,Forgive Us Our Trespasses,409.688,27,below_avg,War,1970
1970-01-01 00:00:00.000002021,Luca,408.749,5886,popular,Animation,1970
1970-01-01 00:00:00.000002021,Luca,408.749,5886,popular,Comedy,1970
1970-01-01 00:00:00.000002021,Luca,408.749,5886,popular,Family,1970
1970-01-01 00:00:00.000002021,Luca,408.749,5886,popular,Fantasy,1970
1970-01-01 00:00:00.000002021,Mortal Kombat,402.273,4447,popular,Action,1970
1970-01-01 00:00:00.000002021,Mortal Kombat,402.273,4447,popular,Fantasy,1970
1970-01-01 00:00:00.000002021,Mortal Kombat,402.273,4447,popular,Adventure,1970
1970-01-01 00:00:00.000002021,Zack Snyder's Justice League,398.461,7414,popular,Action,1970
1970-01-01 00:00:00.000002021,Zack Snyder's Justice League,398.461,7414,popular,Adventure,1970
1970-01-01 00:00:00.000002021,Zack Snyder's Justice League,398.461,7414,popular,Fantasy,1970
1970-01-01 00:00:00.000002021,Zack Snyder's Justice League,398.461,7414,popular,Science Fiction,1970
1970-01-01 00:00:00.000002021,Mother/Android,398.12,422,not_popular,Science Fiction,1970
1970-01-01 00:00:00.000002021,Mother/Android,398.12,422,not_popular,Thriller,1970
1970-01-01 00:00:00.000001986,Exploits of a Young Don Juan,396.948,88,not_popular,Comedy,1970
1970-01-01 00:00:00.000001986,Exploits of a Young Don Juan,396.948,88,not_popular,Drama,1970
1970-01-01 00:00:00.000002021,Dune,394.295,6237,popular,Science Fiction,1970
1970-01-01 00:00:00.000002021,Dune,394.295,6237,popular,Adventure,1970
1970-01-01 00:00:00.000002021,The Last Warrior: Root of Evil,391.957,89,average,Fantasy,1970
1970-01-01 00:00:00.000002021,The Last Warrior: Root of Evil,391.957,89,average,Adventure,1970
1970-01-01 00:00:00.000002021,The Last Warrior: Root of Evil,391.957,89,average,Comedy,1970
1970-01-01 00:00:00.000002022,The Privilege,387.924,104,not_popular,Horror,1970
1970-01-01 00:00:00.000002021,Queen of Spades,387.159,37,below_avg,Horror,1970
1970-01-01 00:00:00.000002021,Antlers,380.88,544,below_avg,Drama,1970
1970-01-01 00:00:00.000002021,Antlers,380.88,544,below_avg,Horror,1970
1970-01-01 00:00:00.000002021,Antlers,380.88,544,below_avg,Mystery,1970
1970-01-01 00:00:00.000002021,Dangerous,379.856,175,below_avg,Action,1970
1970-01-01 00:00:00.000002021,Dangerous,379.856,175,below_avg,Thriller,1970
1970-01-01 00:00:00.000002021,After We Fell,365.85,1563,popular,Romance,1970
1970-01-01 00:00:00.000002021,After We Fell,365.85,1563,popular,Drama,1970
1970-01-01 00:00:00.000002021,No Time to Die,360.164,3616,popular,Adventure,1970
1970-01-01 00:00:00.000002021,No Time to Die,360.164,3616,popular,Action,1970
1970-01-01 00:00:00.000002021,No Time to Die,360.164,3616,popular,Thriller,1970
1970-01-01 00:00:00.000002021,Sooryavanshi,352.368,93,not_popular,Action,1970
1970-01-01 00:00:00.000002021,Sooryavanshi,352.368,93,not_popular,Crime,1970
1970-01-01 00:00:00.000002021,Sooryavanshi,352.368,93,not_popular,Thriller,1970
1970-01-01 00:00:00.000002021,Finch,348.942,2075,popular,Science Fiction,1970
1970-01-01 00:00:00.000002021,Finch,348.942,2075,popular,Drama,1970
1970-01-01 00:00:00.000002021,Finch,348.942,2075,popular,Adventure,1970
1970-01-01 00:00:00.000002021,Two,342.661,207,not_popular,Thriller,1970
1970-01-01 00:00:00.000002021,Two,342.661,207,not_popular,Horror,1970
1970-01-01 00:00:00.000002021,PAW Patrol: The Movie,339.374,855,popular,Animation,1970
1970-01-01 00:00:00.000002021,PAW Patrol: The Movie,339.374,855,popular,Family,1970
1970-01-01 00:00:00.000002021,PAW Patrol: The Movie,339.374,855,popular,Adventure,1970
1970-01-01 00:00:00.000002021,PAW Patrol: The Movie,339.374,855,popular,Comedy,1970
1970-01-01 00:00:00.000002018,Avengers: Infinity War,338.402,24079,popular,Adventure,1970
1970-01-01 00:00:00.000002018,Avengers: Infinity War,338.402,24079,popular,Action,1970
1970-01-01 00:00:00.000002018,Avengers: Infinity War,338.402,24079,popular,Science Fiction,1970
1970-01-01 00:00:00.000001989,Batman,338.272,6109,popular,Fantasy,1970
1970-01-01 00:00:00.000001989,Batman,338.272,6109,popular,Action,1970
1970-01-01 00:00:00.000002021,Black Widow,337.651,7127,popular,Action,1970
1970-01-01 00:00:00.000002021,Black Widow,337.651,7127,popular,Adventure,1970
1970-01-01 00:00:00.000002021,Black Widow,337.651,7127,popular,Science Fiction,1970
1970-01-01 00:00:00.000002022,The Wonderful Winter of Mickey Mouse,333.354,3,not_popular,Animation,1970
1970-01-01 00:00:00.000002022,The Wonderful Winter of Mickey Mouse,333.354,3,not_popular,Comedy,1970
1970-01-01 00:00:00.000002021,F9,331.944,5092,popular,Action,1970
1970-01-01 00:00:00.000002021,F9,331.944,5092,popular,Crime,1970
1970-01-01 00:00:00.000002021,F9,331.944,5092,popular,Thriller,1970
1970-01-01 00:00:00.000002021,F9,331.944,5092,popular,Adventure,1970
1970-01-01 00:00:00.000002022,Moonfall,328.678,186,not_popular,Action,1970
1970-01-01 00:00:00.000002022,Moonfall,328.678,186,not_popular,Adventure,1970
1970-01-01 00:00:00.000002022,Moonfall,328.678,186,not_popular,Science Fiction,1970
1970-01-01 00:00:00.000002022,"Sex, Shame and Tears 2",325.624,5,not_popular,Comedy,1970
1970-01-01 00:00:00.000002022,"Sex, Shame and Tears 2",325.624,5,not_popular,Drama,1970
1970-01-01 00:00:00.000002021,Diary of a Wimpy Kid,324.706,189,below_avg,Animation,1970
1970-01-01 00:00:00.000002021,Diary of a Wimpy Kid,324.706,189,below_avg,Comedy,1970
1970-01-01 00:00:00.000002021,Diary of a Wimpy Kid,324.706,189,below_avg,Family,1970
1970-01-01 00:00:00.000002022,AI Love You,317.643,16,not_popular,Comedy,1970
1970-01-01 00:00:00.000002022,AI Love You,317.643,16,not_popular,Romance,1970
1970-01-01 00:00:00.000002022,AI Love You,317.643,16,not_popular,Science Fiction,1970
1970-01-01 00:00:00.000002022,Erax,317.102,12,not_popular,Mystery,1970
1970-01-01 00:00:00.000002022,Erax,317.102,12,not_popular,Family,1970
1970-01-01 00:00:00.000002020,Deathstroke: Knights & Dragons - The Movie,314.388,325,average,Animation,1970
1970-01-01 00:00:00.000002020,Deathstroke: Knights & Dragons - The Movie,314.388,325,average,Action,1970
1970-01-01 00:00:00.000002020,Deathstroke: Knights & Dragons - The Movie,314.388,325,average,Adventure,1970
1970-01-01 00:00:00.000002020,Deathstroke: Knights & Dragons - The Movie,314.388,325,average,Science Fiction,1970
1970-01-01 00:00:00.000002021,The Last Duel,312.916,1848,popular,Action,1970
1970-01-01 00:00:00.000002021,The Last Duel,312.916,1848,popular,Drama,1970
1970-01-01 00:00:00.000002021,The Last Duel,312.916,1848,popular,History,1970
1970-01-01 00:00:00.000002022,The Pirates: The Last Royal Treasure,311.94,38,average,Action,1970
1970-01-01 00:00:00.000002022,The Pirates: The Last Royal Treasure,311.94,38,average,Adventure,1970
1970-01-01 00:00:00.000002022,The Pirates: The Last Royal Treasure,311.94,38,average,Comedy,1970
1970-01-01 00:00:00.000002022,The Pirates: The Last Royal Treasure,311.94,38,average,History,1970
1970-01-01 00:00:00.000002021,Paranormal Activity: Next of Kin,310.011,300,below_avg,Horror,1970
1970-01-01 00:00:00.000002021,Paranormal Activity: Next of Kin,310.011,300,below_avg,Mystery,1970
1970-01-01 00:00:00.000002021,Paranormal Activity: Next of Kin,310.011,300,below_avg,Thriller,1970
1970-01-01 00:00:00.000002021,House of Gucci,308.214,1276,average,Drama,1970
1970-01-01 00:00:00.000002021,House of Gucci,308.214,1276,average,Crime,1970
1970-01-01 00:00:00.000002021,House of Gucci,308.214,1276,average,Thriller,1970
1970-01-01 00:00:00.000002021,Dark Spell,308.037,80,average,Romance,1970
1970-01-01 00:00:00.000002021,Dark Spell,308.037,80,average,Horror,1970
1970-01-01 00:00:00.000002021,Dark Spell,308.037,80,average,Thriller,1970
1970-01-01 00:00:00.000002021,Jungle Cruise,307.936,4034,popular,Action,1970
1970-01-01 00:00:00.000002021,Jungle Cruise,307.936,4034,popular,Adventure,1970
1970-01-01 00:00:00.000002021,Jungle Cruise,307.936,4034,popular,Comedy,1970
1970-01-01 00:00:00.000002021,Jungle Cruise,307.936,4034,popular,Fantasy,1970
1970-01-01 00:00:00.000002021,Godzilla vs. Kong,307.521,7681,popular,Action,1970
1970-01-01 00:00:00.000002021,Godzilla vs. Kong,307.521,7681,popular,Fantasy,1970
1970-01-01 00:00:00.000002021,Godzilla vs. Kong,307.521,7681,popular,Science Fiction,1970
1970-01-01 00:00:00.000002012,The Amazing Spider-Man,306.376,14564,average,Action,1970
1970-01-01 00:00:00.000002012,The Amazing Spider-Man,306.376,14564,average,Adventure,1970
1970-01-01 00:00:00.000002012,The Amazing Spider-Man,306.376,14564,average,Fantasy,1970
1970-01-01 00:00:00.000002022,Heart Shot,302.272,16,not_popular,Romance,1970
1970-01-01 00:00:00.000002022,Heart Shot,302.272,16,not_popular,Crime,1970
1970-01-01 00:00:00.000002009,Avatar,297.357,25011,popular,Action,1970
1970-01-01 00:00:00.000002009,Avatar,297.357,25011,popular,Adventure,1970
1970-01-01 00:00:00.000002009,Avatar,297.357,25011,popular,Fantasy,1970
1970-01-01 00:00:00.000002009,Avatar,297.357,25011,popular,Science Fiction,1970
1970-01-01 00:00:00.000002021,Mobile Suit Gundam Hathaway,292.604,77,popular,Animation,1970
1970-01-01 00:00:00.000002021,Mobile Suit Gundam Hathaway,292.604,77,popular,Action,1970
1970-01-01 00:00:00.000002021,Mobile Suit Gundam Hathaway,292.604,77,popular,Drama,1970
1970-01-01 00:00:00.000002021,Mobile Suit Gundam Hathaway,292.604,77,popular,Science Fiction,1970
1970-01-01 00:00:00.000002021,Army of Thieves,290.54,1167,average,Crime,1970
1970-01-01 00:00:00.000002021,Army of Thieves,290.54,1167,average,Comedy,1970
1970-01-01 00:00:00.000002022,UFO,290.481,15,not_popular,Drama,1970
1970-01-01 00:00:00.000002022,UFO,290.481,15,not_popular,Romance,1970
1970-01-01 00:00:00.000002022,The Weekend Away,290.206,119,not_popular,Thriller,1970
1970-01-01 00:00:00.000002022,The Weekend Away,290.206,119,not_popular,Mystery,1970
1970-01-01 00:00:00.000002020,The Croods: A New Age,284.798,2877,popular,Animation,1970
1970-01-01 00:00:00.000002020,The Croods: A New Age,284.798,2877,popular,Family,1970
1970-01-01 00:00:00.000002020,The Croods: A New Age,284.798,2877,popular,Adventure,1970
1970-01-01 00:00:00.000002020,The Croods: A New Age,284.798,2877,popular,Fantasy,1970
1970-01-01 00:00:00.000002020,The Croods: A New Age,284.798,2877,popular,Comedy,1970
1970-01-01 00:00:00.000002021,Back to the Outback,282.246,341,popular,Animation,1970
1970-01-01 00:00:00.000002021,Back to the Outback,282.246,341,popular,Family,1970
1970-01-01 00:00:00.000002021,Back to the Outback,282.246,341,popular,Adventure,1970
1970-01-01 00:00:00.000002021,Back to the Outback,282.246,341,popular,Comedy,1970
1970-01-01 00:00:00.000002021,The Tomorrow War,282.068,5182,popular,Action,1970
1970-01-01 00:00:00.000002021,The Tomorrow War,282.068,5182,popular,Science Fiction,1970
1970-01-01 00:00:00.000002021,The Tomorrow War,282.068,5182,popular,Adventure,1970
1970-01-01 00:00:00.000002022,Home Team,280.613,368,average,Family,1970
1970-01-01 00:00:00.000002022,Home Team,280.613,368,average,Comedy,1970
1970-01-01 00:00:00.000002021,The Fallout,279.344,130,popular,Drama,1970
1970-01-01 00:00:00.000002021,Raya and the Last Dragon,277.59,5048,popular,Family,1970
1970-01-01 00:00:00.000002021,Raya and the Last Dragon,277.59,5048,popular,Fantasy,1970
1970-01-01 00:00:00.000002021,Raya and the Last Dragon,277.59,5048,popular,Animation,1970
1970-01-01 00:00:00.000002021,Raya and the Last Dragon,277.59,5048,popular,Action,1970
1970-01-01 00:00:00.000002021,Raya and the Last Dragon,277.59,5048,popular,Adventure,1970
1970-01-01 00:00:00.000002021,Infinite,276.461,912,average,Science Fiction,1970
1970-01-01 00:00:00.000002021,Infinite,276.461,912,average,Action,1970
1970-01-01 00:00:00.000002021,Infinite,276.461,912,average,Thriller,1970
1970-01-01 00:00:00.000002021,Wrath of Man,273.622,3376,popular,Action,1970
1970-01-01 00:00:00.000002021,Wrath of Man,273.622,3376,popular,Crime,1970
1970-01-01 00:00:00.000002021,Wrath of Man,273.622,3376,popular,Thriller,1970
1970-01-01 00:00:00.000002021,Fortress,273.35,163,below_avg,Crime,1970
1970-01-01 00:00:00.000002021,Fortress,273.35,163,below_avg,Action,1970
1970-01-01 00:00:00.000002021,Fortress,273.35,163,below_avg,Thriller,1970
1970-01-01 00:00:00.000002021,Space Jam: A New Legacy,271.573,2952,average,Family,1970
1970-01-01 00:00:00.000002021,Space Jam: A New Legacy,271.573,2952,average,Animation,1970
1970-01-01 00:00:00.000002021,Space Jam: A New Legacy,271.573,2952,average,Comedy,1970
1970-01-01 00:00:00.000002021,Space Jam: A New Legacy,271.573,2952,average,Science Fiction,1970
1970-01-01 00:00:00.000002022,Laura y el misterio del asesino inesperado,266.754,8,popular,TV Movie,1970
1970-01-01 00:00:00.000002022,Laura y el misterio del asesino inesperado,266.754,8,popular,Mystery,1970
1970-01-01 00:00:00.000002022,Laura y el misterio del asesino inesperado,266.754,8,popular,Thriller,1970
1970-01-01 00:00:00.000002022,Laura y el misterio del asesino inesperado,266.754,8,popular,Comedy,1970
1970-01-01 00:00:00.000002021,The Conjuring: The Devil Made Me Do It,266.614,4233,popular,Horror,1970
1970-01-01 00:00:00.000002021,The Conjuring: The Devil Made Me Do It,266.614,4233,popular,Mystery,1970
1970-01-01 00:00:00.000002021,The Conjuring: The Devil Made Me Do It,266.614,4233,popular,Thriller,1970
1970-01-01 00:00:00.000002005,Batman Begins,265.806,17338,popular,Action,1970
1970-01-01 00:00:00.000002005,Batman Begins,265.806,17338,popular,Crime,1970
1970-01-01 00:00:00.000002005,Batman Begins,265.806,17338,popular,Drama,1970
1970-01-01 00:00:00.000002022,The Royal Treatment,264.99,390,average,Romance,1970
1970-01-01 00:00:00.000002022,The Royal Treatment,264.99,390,average,Comedy,1970
